NAME,topic,group,geography,label,estimate,pct,reliable,estimate_reliable,pct_reliable
New York,cvap,NHPI Alone,state,CVAP,8660,0.71,YES,8660,0.71
North Carolina,cvap,Asian American Alone,state,CVAP,283290,0.461,YES,283290,0.461
North Carolina,cvap,NHPI Alone,state,CVAP,5685,0.637,YES,5685,0.637
North Dakota,cvap,Asian American Alone,state,CVAP,10795,0.313,YES,10795,0.313
North Dakota,cvap,NHPI Alone,state,CVAP,365,0.808,YES,365,0.808
Ohio,cvap,Asian American Alone,state,CVAP,251675,0.429,YES,251675,0.429
Ohio,cvap,NHPI Alone,state,CVAP,3135,0.648,YES,3135,0.648
Oklahoma,cvap,Asian American Alone,state,CVAP,83485,0.481,YES,83485,0.481
Oklahoma,cvap,NHPI Alone,state,CVAP,3995,0.523,YES,3995,0.523
Oregon,cvap,Asian American Alone,state,CVAP,174005,0.55,YES,174005,0.55
Oregon,cvap,NHPI Alone,state,CVAP,15410,0.529,YES,15410,0.529
Pennsylvania,cvap,Asian American Alone,state,CVAP,430425,0.487,YES,430425,0.487
Pennsylvania,cvap,NHPI Alone,state,CVAP,3035,0.692,YES,3035,0.692
Rhode Island,cvap,Asian American Alone,state,CVAP,36200,0.503,YES,36200,0.503
Rhode Island,cvap,NHPI Alone,state,CVAP,865,0.676,YES,865,0.676
South Carolina,cvap,Asian American Alone,state,CVAP,75820,0.507,YES,75820,0.507
South Carolina,cvap,NHPI Alone,state,CVAP,2810,0.562,YES,2810,0.562
South Dakota,cvap,Asian American Alone,state,CVAP,12585,0.313,YES,12585,0.313
South Dakota,cvap,NHPI Alone,state,CVAP,295,0.729,YES,295,0.729
Tennessee,cvap,Asian American Alone,state,CVAP,113395,0.442,YES,113395,0.442
Tennessee,cvap,NHPI Alone,state,CVAP,3360,0.64,YES,3360,0.64
Texas,cvap,Asian American Alone,state,CVAP,1307325,0.494,YES,1307325,0.494
Texas,cvap,NHPI Alone,state,CVAP,20615,0.669,YES,20615,0.669
Utah,cvap,Asian American Alone,state,CVAP,69575,0.492,YES,69575,0.492
Utah,cvap,NHPI Alone,state,CVAP,26725,0.557,YES,26725,0.557
Vermont,cvap,Asian American Alone,state,CVAP,10850,0.436,YES,10850,0.436
Vermont,cvap,NHPI Alone,state,CVAP,170,0.882,YES,170,0.882
Virginia,cvap,Asian American Alone,state,CVAP,532370,0.542,YES,532370,0.542
Virginia,cvap,NHPI Alone,state,CVAP,4805,0.752,YES,4805,0.752
Washington,cvap,Asian American Alone,state,CVAP,607460,0.546,YES,607460,0.546
Washington,cvap,NHPI Alone,state,CVAP,46800,0.612,YES,46800,0.612
West Virginia,cvap,Asian American Alone,state,CVAP,14665,0.509,YES,14665,0.509
West Virginia,cvap,NHPI Alone,state,CVAP,310,0.839,YES,310,0.839
Wisconsin,cvap,Asian American Alone,state,CVAP,159700,0.47,YES,159700,0.47
Wisconsin,cvap,NHPI Alone,state,CVAP,1750,0.603,YES,1750,0.603
Wyoming,cvap,Asian American Alone,state,CVAP,4690,0.462,YES,4690,0.462
Wyoming,cvap,NHPI Alone,state,CVAP,435,0.943,NO,,
Puerto Rico,cvap,Asian American Alone,state,CVAP,2550,0.506,YES,2550,0.506
Puerto Rico,cvap,NHPI Alone,state,CVAP,45,0.556,NO,,
"Autauga County, Alabama",cvap,Asian American Alone,county,CVAP,570,0.5,YES,570,0.5
"Autauga County, Alabama",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Baldwin County, Alabama",cvap,Asian American Alone,county,CVAP,1920,0.466,YES,1920,0.466
"Baldwin County, Alabama",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Barbour County, Alabama",cvap,Asian American Alone,county,CVAP,85,0.647,NO,,
"Barbour County, Alabama",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Bibb County, Alabama",cvap,Asian American Alone,county,CVAP,35,1,NO,,
"Bibb County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Blount County, Alabama",cvap,Asian American Alone,county,CVAP,200,0.4,YES,200,0.4
"Blount County, Alabama",cvap,NHPI Alone,county,CVAP,20,1,NO,,
"Bullock County, Alabama",cvap,Asian American Alone,county,CVAP,55,0.455,NO,,
"Bullock County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Butler County, Alabama",cvap,Asian American Alone,county,CVAP,230,0.37,NO,,
"Butler County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Calhoun County, Alabama",cvap,Asian American Alone,county,CVAP,1065,0.535,YES,1065,0.535
"Calhoun County, Alabama",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Chambers County, Alabama",cvap,Asian American Alone,county,CVAP,405,0.296,NO,,
"Chambers County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Cherokee County, Alabama",cvap,Asian American Alone,county,CVAP,40,0.375,NO,,
"Cherokee County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Chilton County, Alabama",cvap,Asian American Alone,county,CVAP,200,0.325,YES,200,0.325
"Chilton County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Choctaw County, Alabama",cvap,Asian American Alone,county,CVAP,15,1,NO,,
"Choctaw County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Clarke County, Alabama",cvap,Asian American Alone,county,CVAP,125,0.72,YES,125,0.72
"Clarke County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Clay County, Alabama",cvap,Asian American Alone,county,CVAP,20,0.75,NO,,
"Clay County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Cleburne County, Alabama",cvap,Asian American Alone,county,CVAP,4,1,NO,,
"Cleburne County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Coffee County, Alabama",cvap,Asian American Alone,county,CVAP,665,0.421,YES,665,0.421
"Coffee County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Colbert County, Alabama",cvap,Asian American Alone,county,CVAP,245,0.49,YES,245,0.49
"Colbert County, Alabama",cvap,NHPI Alone,county,CVAP,30,1,NO,,
"Conecuh County, Alabama",cvap,Asian American Alone,county,CVAP,20,1,NO,,
"Conecuh County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Coosa County, Alabama",cvap,Asian American Alone,county,CVAP,0,,NO,,
"Coosa County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Covington County, Alabama",cvap,Asian American Alone,county,CVAP,145,0.414,YES,145,0.414
"Covington County, Alabama",cvap,NHPI Alone,county,CVAP,15,0,NO,,
"Crenshaw County, Alabama",cvap,Asian American Alone,county,CVAP,190,0.316,NO,,
"Crenshaw County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Cullman County, Alabama",cvap,Asian American Alone,county,CVAP,335,0.701,NO,,
"Cullman County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Dale County, Alabama",cvap,Asian American Alone,county,CVAP,565,0.478,YES,565,0.478
"Dale County, Alabama",cvap,NHPI Alone,county,CVAP,4,0,NO,,
"Dallas County, Alabama",cvap,Asian American Alone,county,CVAP,225,0.156,NO,,
"Dallas County, Alabama",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"DeKalb County, Alabama",cvap,Asian American Alone,county,CVAP,140,0.5,NO,,
"DeKalb County, Alabama",cvap,NHPI Alone,county,CVAP,100,0.55,NO,,
"Elmore County, Alabama",cvap,Asian American Alone,county,CVAP,390,0.41,YES,390,0.41
"Elmore County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Escambia County, Alabama",cvap,Asian American Alone,county,CVAP,135,0.63,NO,,
"Escambia County, Alabama",cvap,NHPI Alone,county,CVAP,70,1,NO,,
"Etowah County, Alabama",cvap,Asian American Alone,county,CVAP,740,0.507,YES,740,0.507
"Etowah County, Alabama",cvap,NHPI Alone,county,CVAP,65,0.385,NO,,
